RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
394402,"Boone, NC",392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215300,210300,202600,215300,213300,215100,219100,218e3,228900,231100,227700,219700,221300,226400,233600,224200,224600,212700,216500,219800,223200,225500,225500,223600,222200,223900,223400,232600,243300,248400,246300,256800,261700,263400,243900,232800,230800,23e4,237e3,236400,241600,247400,246600,240100,229100,228200,236900,246500,242100,247400,255900,263900,257200,258e3,269600,267800,
394363,"Bartlesville, OK",393,91400,89700,87300,90600,87600,94300,97500,102500,89500,91100,89800,95700,88e3,85900,90800,93300,98400,99600,100300,104800,108300,98100,104100,95700,102500,90300,95600,110200,112700,117e3,111100,107200,103100,94700,99800,97900,97100,97e3,100700,104800,110700,105100,102500,84e3,83500,86e3,88500,94900,101700,116600,117500,112500,105e3,104400,109500,109200,105100,101800,105500,99700,103100,102600,106e3,107400,108600,110800,106400,109500,113600,116700,117400,121400,123500,122900,122200,121100,120200,119400,116800,119e3,116800,117400,11e4,108300,109700,112e3,116900,111500,113900,110100,116800,114e3,103900,99e3,106300,118400,115200,11e4,106600,112200,105400,109500,110100,109900,114100,113700,123800,119600,117800,116900,118100,113200,113100,115200,124700,122100,120200,123300,123400,115600,117300,119e3,121500,113900,108400,109e3,105100,114600,111800,119900,121300,132900
395122,"St. Marys, GA",394,,,,,,,,,,,,,153100,141500,142e3,138700,139500,137500,141600,142400,144200,140200,133500,138100,136600,145500,133500,137500,135500,134800,129500,131600,142400,146e3,135e3,124700,121100,116200,114800,108900,112600,106100,103800,108900,121500,118600,109100,94400,96800,102900,107600,107e3,106e3,104100,103e3,107200,117300,121200,114200,105300,107500,107500,109900,108300,105600,105500,106e3,109400,109500,108200,109e3,111700,113e3,120700,119600,119800,116e3,111600,111600,111300,119e3,124400,127400,130500,130100,132600,125700,128e3,127300,134200,127400,129200,131600,137300,134e3,132e3,127900,125300,124300,131e3,134200,134800,136800,149400,152600,155300,145100,143200,141800,143200,146100,146e3,152300,154900,152900,144100,137400,137200,127700,126e3,124300,,,,,,,,,,,
394906,"New Castle, IN",395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76e3,88700,85500,100300,9e4,94200,94700,92e3,89300,95500,97700,99600,98800,120800,114200,109200,88900,93e3,85700,85800,97e3,105900,98100,98e3,91600,
394504,"Cortland, NY",396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106700,114100,110400,104200,105400,106100,108700,101200,103800,100400,105e3,106600,112900,116400,123900,123700,113500,107300,103900,107200,103700,104600,102300,100200,100500,100400,111800,11e4,111400,101100,94900,97e3,101700,113e3,111500,108300,103200,94e3,92100,97500,109200,112300,113400,109400,121700,121400,127e3,116900,108800,109500,109400,108e3,107100,112800,110400,111300,106900,117600,110200,113e3,115500,118100,114600,111100,116400,104400,102800,105900,129500,133300,124600,117600,117400,125200,120500,115100,113600,118300,
394919,"Norfolk, NE",397,82800,80100,85600,86600,87700,87600,83700,89100,88900,90200,77900,79700,86800,92700,89500,87700,89600,93400,90200,97900,92800,93200,79900,79500,77900,89200,100500,99700,86500,79800,74600,79400,87400,95400,96200,87500,89e3,97800,93400,89700,91700,97400,97900,96200,94300,102800,97e3,112900,119600,123400,105300,103400,108900,117100,109500,114200,113800,108700,93400,93400,96300,105800,102200,106500,107200,118400,118400,113e3,109900,99100,102800,96500,104600,101900,108200,110400,115500,110900,116100,113e3,116e3,117e3,127e3,131500,121900,109700,108900,118500,126600,122900,115400,115400,113200,121900,124400,132500,137900,137700,131500,126200,124900,130700,135700,140300,142900,135800,132100,127100,139600,146400,153200,139e3,129100,126700,128300,145e3,145300,149100,136400,141200,165100,171600,176900,148600,148200,143600,147400,145800,144900,143400,140800,
394616,"Freeport, IL",398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74300,84500,84300,84300,77100,75400,60500,58400,58200,74100,74300,76700,77800,78e3,79800,82700,93300,96200,97200,93200,89300,85300,76100,73900,74300,73100,70300,70800,76800,78300,77200,67600,69700,68700,81100,81400,92400,93200,92600,92400,87900,103600,103500,98500,92100,84100,89600,81e3,84800,85600,86200,88100,9e4,108300,103100
394918,"Nogales, AZ",399,205500,169800,156e3,130100,132300,149900,154300,156600,149400,16e4,165500,162100,136300,126500,117900,110700,118300,129600,136400,128100,121900,127200,118e3,112600,102400,105300,107600,109700,105e3,102100,102600,98600,101800,100400,101800,102200,96600,96800,86800,88200,94e3,91300,86300,75900,82900,88100,92100,90300,87600,83500,86e3,82400,85300,92200,97e3,102300,89200,98800,95400,102800,101300,100200,103600,98200,97700,101700,107400,119400,117100,125e3,119e3,115400,99e3,99800,100800,107300,112e3,112700,115500,109e3,110400,110800,116700,121300,121400,119200,120600,123300,120600,117400,113500,117700,118100,124300,127e3,129e3,129900,133900,135900,128600,133600,133300,139800,147e3,148900,140800,127400,128900,131700,140200,138e3,149900,144400,147500,140400,143400,146900,150200,156600,150100,150500,140400,141e3,135700,136e3,143800,153700,160900,163200,182e3,185200,
395144,"Tahlequah, OK",400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100400,96700,96300,97500,98e3,80400,73100,73e3,9e4,89900,85900,80900,92900,96600,105900,97800,104600,87800,87600,84500,95800,93300,92800,99300,101100,99200,94600,98100,90700,90500,93e3,91100,89e3,91e3,97300,99900,93600,95400,91700,113500,114300,118200,100500,99300,109400,105700,115300,109100,118800,114900,115900,124200,114300,100500,
394817,"Madisonville, KY",401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99700,98400,102200,101e3,99800,103600,99100,99200,88300,85300,103300,116900,108600,101800,91100,108400,103600,99700,100300,104800,114500,101400,89400,83500,95400,99e3,106600,104900,105400,103300,103800,94600,86300,88800,99200,102600,83900,82100,87400,95700,99300,100900,111200,114600,119200,116300,120300,107900,99700
394437,"Cañon City, CO",402,129400,124900,121900,128400,131900,132900,134900,133800,136600,127700,125300,118900,121900,123300,130400,128100,122900,124300,125600,137700,141200,155500,143600,137600,129900,136500,124800,128600,123300,133800,128800,133e3,141e3,138100,127900,127200,130600,135100,125600,116900,115e3,118300,127300,137e3,137900,137e3,123900,114700,113800,119300,130600,125300,122200,116800,106900,111900,116600,130100,132800,133900,126e3,126900,124100,124600,123600,122500,121300,121600,122500,134800,124700,130800,134400,138e3,138100,135300,142300,142900,147100,151100,145200,139900,129800,132100,133100,146e3,148900,147400,147e3,146100,149400,146700,151400,153800,157200,156800,151200,150500,148900,158e3,162100,166500,164300,163400,166500,167900,167800,161400,161700,161100,172900,173700,176900,171200,169300,174300,174300,174800,171100,177e3,185200,186900,187300,184300,188800,201600,207900,209300,199e3,195800,194e3,
395043,"Ruston, LA",403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163e3,159300,189e3,192100,204200,183300,184200,193e3,184600,176200,175100,190300,200700,199200,194100,203900,201400,186900,187e3,197500,223200,199700,184600,171800,183700,180400,183700,193400,217400,207800,209900,182600,177600,
753889,"Hillsdale, MI",404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e4,69500,72e3,78e3,74700,73e3,70900,68200,67700,60700,67600,71600,77600,73800,72800,70700,76100,80400,77800,77100,73600,82500,82e3,79700,81400,84500,80900,75300,72400,76900,80300,81400,86900,81700,80800,76900,79200,78400,85200,90300,89e3,84900,93100,98400,105700,101700,98500,99300,95700,101e3,93700,92700,95e3,98900,102600,91100,82700,84900,93600,101e3,97e3,100400,106400,116200,113900,111700,101700,113600,124400,126500,120100,104300,102400,97100,101800,113700,121600,117700,115800,120800,
395034,"Rockingham, NC",405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54600,55300,63100,56e3,56700,55800,69900,69900,70900,59300,65100,62800,66900,67300,65700,77900,69800,74800,56800,53700,47600,50900,56900,58800,65500,64500,74300,70300,79e3,74800,70100,65500,65500,80400,71600,75100,63100,69700,60800,65100,63600,7e4,81e3,85600,80200,74500,75700,83500,68300,61500,56e3,66300,7e4,64100,62e3,64400,79600,77300,72100,64700,68800,63200,66600,69700,75e3,67200,66400,71800,84100,84300,92900,76300,
